"name","icc","icc_low","icc_up","icc_panel","icc_panel_low","icc_panel_up"
"dzm_sde_3d_fbn_n32",0.80949160127202,0.780065312178393,0.83793613317601,0.988369692338818,0.986098771343198,0.990422202506168
"dzm_lde_3d_fbn_n32",0.973098260118385,0.968005115888224,0.977745491257357,0.998619635509785,0.99835010706791,0.998863241460148
"dzm_lgze_3d_fbn_n32",0.798330746582374,0.767645154244685,0.828109439592733,0.987526861161687,0.985091369883691,0.989728113702052
"dzm_hgze_3d_fbn_n32",0.919103874459655,0.904737683689249,0.932464413897385,0.995618467142487,0.994762933888424,0.9963917176016
"dzm_sdlge_3d_fbn_n32",0.787752787139219,0.755919330906552,0.818760765708307,0.986707384869544,0.984111883558156,0.989053258125933
"dzm_sdhge_3d_fbn_n32",0.791416111119893,0.759975164747827,0.822002256858724,0.986993508134751,0.9844538749353,0.989288886517911
"dzm_ldlge_3d_fbn_n32",0.973687389935025,0.968702378842794,0.978235009357113,0.998650639561447,0.99838716493637,0.998888773934177
"dzm_ldhge_3d_fbn_n32",0.974126644389098,0.969222355928079,0.978599930237113,0.998673732990379,0.998414767562663,0.998907791847734
"dzm_glnu_3d_fbn_n32",0.914723434734231,0.899659656469377,0.928754390759826,0.995360296671163,0.994454353336743,0.99617910891013
"dzm_glnu_norm_3d_fbn_n32",0.71882268432557,0.680580363717127,0.756988935439182,0.980817001353595,0.977071350279336,0.984202406186301
"dzm_zdnu_3d_fbn_n32",0.933681817338616,0.921695880455486,0.944771549614444,0.996461134280917,0.995770139279214,0.997085671316472
"dzm_zdnu_norm_3d_fbn_n32",0.802398089101924,0.772165678609757,0.831694979558375,0.987836561744916,0.985461542259868,0.989983158500204
"dzm_z_perc_3d_fbn_n32",0.964843089750212,0.95825065723673,0.9708758968432,0.998181415464892,0.997826320662296,0.998502358242782
"dzm_gl_var_3d_fbn_n32",0.770421062343385,0.736802262232571,0.803368651548645,0.985319162620051,0.982452598569412,0.987910028559749
"dzm_zd_var_3d_fbn_n32",0.974373727553494,0.969514883099779,0.978805176615284,0.998686714496159,0.998430283822887,0.998918482384662
"dzm_zd_entr_3d_fbn_n32",0.877653949956524,0.857009912347575,0.897135558396237,0.993078183426814,0.991726637187299,0.994299741730076
"ngt_coarseness_3d_fbn_n32",0.961106553078309,0.953845248697722,0.967760220862694,0.997980717645391,0.997586434808792,0.998337079461804
"ngt_contrast_3d_fbn_n32",0.951457103273368,0.942496462228605,0.95969591234588,0.997455514292073,0.996958680830266,0.997904563701456
"ngt_busyness_3d_fbn_n32",0.951371620425857,0.942396105170084,0.95962435444029,0.997450816491186,0.996953065741979,0.997900694965832
"ngt_complexity_3d_fbn_n32",0.948965575997078,0.939572696751439,0.957609400038042,0.997318260837021,0.996794627417562,0.997791532659104
"ngt_strength_3d_fbn_n32",0.899157649374468,0.881680549248815,0.915526069373945,0.994423668622996,0.993334840333023,0.995407776454125
"ngl_lde_d1_a0.0_3d_fbn_n32",0.963695170508661,0.956896605151776,0.969919133130911,0.99811991517436,0.997752811893134,0.998451711489
"ngl_hde_d1_a0.0_3d_fbn_n32",0.952842704818223,0.944123601656601,0.960855514517097,0.997531550090959,0.997049563295048,0.997967180745238
"ngl_lgce_d1_a0.0_3d_fbn_n32",0.869591342740632,0.847809424971267,0.890205267610441,0.992557533131573,0.991104325291928,0.993870975506671
"ngl_hgce_d1_a0.0_3d_fbn_n32",0.891642169732154,0.873036302289299,0.909113992449877,0.993960391564117,0.992781104308617,0.995026258270536
"ngl_ldlge_d1_a0.0_3d_fbn_n32",0.879920203711153,0.859600850623759,0.899080095780917,0.993222907943682,0.991899620453076,0.994418925345448
"ngl_ldhge_d1_a0.0_3d_fbn_n32",0.967042937646251,0.960847135327251,0.97270838354805,0.998298886359405,0.997966728793594,0.998599097939774
"ngl_hdlge_d1_a0.0_3d_fbn_n32",0.939668120625778,0.928685883701291,0.949807763898327,0.996799996942765,0.99617516788919,0.997364731685978
"ngl_hdhge_d1_a0.0_3d_fbn_n32",0.932725611696414,0.920580771720893,0.943966156802681,0.996406625624944,0.995704987323434,0.997040782317507
"ngl_glnu_d1_a0.0_3d_fbn_n32",0.985625863190956,0.982864873298762,0.988134006898258,0.999271343035397,0.999129066283334,0.999399936007477
"ngl_glnu_norm_d1_a0.0_3d_fbn_n32",0.947332011950167,0.937657189378767,0.956240428569328,0.997227899699272,0.996686622464114,0.997717118404221
"ngl_dcnu_d1_a0.0_3d_fbn_n32",0.947787209153646,0.938190835329106,0.956621972336928,0.997253108741881,0.996716753796469,0.997737878569142
"ngl_dcnu_norm_d1_a0.0_3d_fbn_n32",0.968554847769366,0.962632862744858,0.973967026002409,0.998379328231516,0.998062877656581,0.998665343475451
"ngl_dc_perc_d1_a0.0_3d_fbn_n32",1,1,1,1,1,1
"ngl_gl_var_d1_a0.0_3d_fbn_n32",0.934570873866377,0.92273303180649,0.945520149840382,0.996511720359138,0.995830602739054,0.997127329992005
"ngl_dc_var_d1_a0.0_3d_fbn_n32",0.941633831315719,0.93098452682863,0.951459269181839,0.996910378674292,0.996307102635389,0.997455633311489
"ngl_dc_entr_d1_a0.0_3d_fbn_n32",0.917796890016164,0.903221710418509,0.931358038888758,0.995541681214841,0.994671154825571,0.99632848281136
"ngl_dc_energy_d1_a0.0_3d_fbn_n32",0.904194932346427,0.887487648754916,0.919814599490993,0.994730108413333,0.9937011152175,0.995660135922285
"log_loc_peak_loc",0.797269738719632,0.766467010392587,0.827173282366397,0.987445585117002,0.984994223968519,0.989661181208109
"log_loc_peak_glob",0.915111449955889,0.900109135380499,0.929083244257222,0.995383259512148,0.994481799876632,0.996198019281828
"log_stat_mean",0.996243714312227,0.995513392287753,0.996904672182497,0.999811513105518,0.999774709363215,0.999844777166849
"log_stat_var",0.941844151062144,0.931230566645977,0.951635905655989,0.996922163043039,0.996321188006928,0.997465337981454
"log_stat_skew",0.97720299520405,0.972866418478441,0.981154168243778,0.99883491738596,0.998607424644844,0.999040530511664
"log_stat_kurt",0.947421032887378,0.937761545175898,0.956315050046016,0.997232831527251,0.996692517275363,0.997721179865967
"log_stat_median",0.993981369733762,0.992814201104873,0.995038527819985,0.999697337956298,0.999638240500784,0.999750751583871
"log_stat_min",0.887462317880464,0.868238885376218,0.905540688342345,0.993699527333371,0.992469304017033,0.994811431212796
"log_stat_p10",0.985950741554005,0.983251147764119,0.988402830419056,0.999288034621372,0.999149017049904,0.999413681871729
"log_stat_p90",0.983676009933614,0.980547508514758,0.986519966297576,0.999170943664667,0.999009063042649,0.999317255061335
"log_stat_max",0.94952357385413,0.940227265205732,0.958076844262409,0.997349059174868,0.996831439404754,0.997816895723577
